fangjian_value,sum,mean,median,var,min,max
684,15.68,1.96,2.085,0.2179428571428572,1.18,2.43
685,25.689999999999998,3.2112499999999997,3.0700000000000003,0.5845267857142856,2.28,4.18
686,12.889999999999999,1.6112499999999998,1.635,0.09489821428571428,1.0,1.93
687,1.46,0.1825,0.11,0.015278571428571428,0.09,0.41
688,16.15,2.01875,2.065,0.08978392857142858,1.52,2.4
689,8.62,1.0775,1.025,0.11130714285714285,0.6,1.54
690,13.089999999999998,1.6362499999999998,1.755,0.10945535714285716,0.86,1.85
691,11.46,1.4325,1.4300000000000002,0.09910714285714285,0.95,1.88
692,12.719999999999999,1.5899999999999999,1.5550000000000002,0.11194285714285715,1.15,2.2
693,15.629999999999999,1.9537499999999999,1.8900000000000001,0.09502678571428569,1.61,2.48
699,7.92,0.99,0.905,0.044171428571428584,0.77,1.32
700,2.57,0.32125,0.2,0.11995535714285713,0.02,0.87
701,11.299999999999999,1.4124999999999999,1.225,0.3933071428571429,0.85,2.4
702,20.549999999999997,2.5687499999999996,2.62,0.05518392857142862,2.09,2.85
703,20.880000000000003,2.6100000000000003,2.6,0.1154857142857143,2.07,3.07
704,26.930000000000003,3.3662500000000004,3.335,0.9054839285714282,2.2,4.89
705,13.910000000000002,1.7387500000000002,1.71,0.2226410714285714,1.23,2.57
706,32.73,4.09125,4.045,0.4036124999999996,3.06,5.06
707,15.960000000000003,1.9950000000000003,2.06,0.07091428571428572,1.65,2.29
709,19.04,2.38,2.41,0.06857142857142864,1.93,2.66
710,8.23,1.02875,1.04,0.08055535714285714,0.57,1.43
711,12.190000000000001,1.5237500000000002,1.505,0.08179821428571431,1.02,2.05
712,12.989999999999998,1.6237499999999998,1.375,0.24465535714285713,1.2,2.64
713,15.7,1.9625,2.01,0.11842142857142852,1.48,2.53
714,15.430000000000001,1.9287500000000002,1.9100000000000001,0.1182696428571428,1.32,2.35
715,20.069999999999997,2.5087499999999996,2.17,1.7363839285714284,0.51,4.59
716,10.290000000000001,1.2862500000000001,1.295,0.06854107142857147,0.86,1.59
717,13.92,1.74,1.8450000000000002,0.04308571428571428,1.47,1.99
718,23.289999999999996,2.9112499999999994,2.92,0.03069821428571427,2.65,3.15
719,29.94,3.7425,3.85,0.48784999999999995,2.47,4.68
720,22.11,2.76375,2.835,0.1848839285714285,2.04,3.24
721,21.57,2.69625,2.67,0.0979982142857143,2.3,3.13
722,19.02,2.3775,2.415,0.14490714285714293,1.92,3.0
723,34.08,4.26,4.1049999999999995,0.42440000000000017,3.38,5.03
724,12.1,1.5125,1.54,0.06627857142857137,1.0,1.9
726,23.0,2.875,2.935,0.21165714285714285,2.37,3.51
729,18.06,2.2575,2.1100000000000003,0.3483928571428571,1.53,3.37
730,8.86,1.1075,1.125,0.12150714285714284,0.45,1.67
731,7.16,0.895,0.855,0.0810857142857143,0.63,1.47
732,18.89,2.36125,2.255,0.7185839285714286,1.18,3.98
733,7.37,0.92125,0.91,0.027326785714285706,0.75,1.23
734,12.87,1.60875,1.55,0.08364107142857147,1.27,2.1
735,16.2,2.025,1.98,0.2361428571428572,1.17,2.7
736,8.48,1.06,1.0499999999999998,0.0481142857142857,0.75,1.4
737,15.34,1.9175,1.875,0.22830714285714282,1.36,2.74
739,10.769999999999998,1.3462499999999997,1.3250000000000002,0.15459821428571432,0.77,2.18
740,17.18,2.1475,2.005,0.2878214285714286,1.49,3.02
741,23.060000000000002,2.8825000000000003,2.995,0.08745000000000001,2.43,3.14
742,22.38,2.7975,2.78,0.12299285714285711,2.17,3.28
743,14.02,1.7525,1.895,0.16584999999999991,1.12,2.3
744,10.469999999999999,1.3087499999999999,1.3050000000000002,0.05112678571428569,0.89,1.66
745,26.970000000000002,3.3712500000000003,3.15,0.34158392857142855,2.89,4.5
746,18.299999999999997,2.2874999999999996,2.27,0.11290714285714289,1.68,2.79
747,11.65,1.45625,1.4049999999999998,0.1379982142857142,1.11,2.26
748,8.95,1.11875,1.135,0.04032678571428571,0.78,1.42
749,11.53,1.44125,1.335,0.25349821428571434,0.81,2.45
750,29.41,3.67625,3.5,0.6650839285714287,2.57,4.87
751,20.83,2.60375,2.4349999999999996,0.35768392857142856,2.06,3.84
752,18.91,2.36375,2.105,0.2953410714285715,1.94,3.41
753,20.48,2.56,2.245,0.271,2.11,3.31
754,12.16,1.52,1.55,0.22351428571428564,0.89,2.36
756,14.94,1.8675,1.76,0.36370714285714284,1.16,2.92
759,17.990000000000002,2.2487500000000002,2.255,0.10235535714285714,1.78,2.76
760,9.5,1.1875,1.1949999999999998,0.00713571428571428,1.02,1.3
761,12.04,1.505,1.525,0.03551428571428571,1.23,1.74
762,11.379999999999999,1.4224999999999999,1.445,0.06330714285714291,1.1,1.84
763,14.86,1.8575,1.88,0.032707142857142824,1.62,2.13
764,22.14,2.7675,2.6799999999999997,0.5817357142857142,1.79,3.92
765,11.220000000000002,1.4025000000000003,1.4249999999999998,0.07019285714285714,0.91,1.81
766,13.32,1.665,1.5550000000000002,0.11328571428571431,1.36,2.37
767,22.9,2.8625,3.005,0.1849071428571429,2.15,3.45
769,14.92,1.865,1.8,0.058228571428571387,1.6,2.38
770,20.91,2.61375,2.4000000000000004,0.5075124999999997,1.74,4.01
771,8.68,1.085,0.975,0.14308571428571432,0.69,1.73
772,9.020000000000001,1.1275000000000002,1.1949999999999998,0.020678571428571428,0.91,1.26
773,10.94,1.3675,1.325,0.06222142857142859,1.1,1.85
774,15.959999999999999,1.9949999999999999,1.9249999999999998,0.06305714285714287,1.68,2.41
775,21.919999999999998,2.7399999999999998,2.6,0.8227714285714287,1.95,4.75
776,8.11,1.01375,1.02,0.019369642857142853,0.76,1.2
777,14.629999999999999,1.8287499999999999,1.79,0.09838392857142855,1.36,2.32
778,27.25,3.40625,2.76,2.844769642857142,2.04,6.67
779,8.48,1.06,0.8999999999999999,0.185,0.6,1.94
780,20.310000000000002,2.5387500000000003,2.085,3.283098214285714,1.02,6.59
781,12.74,1.5925,1.7,0.07636428571428575,1.14,1.86
783,12.43,1.55375,1.525,0.04719821428571424,1.25,1.93
789,16.740000000000002,2.0925000000000002,2.265,0.37399285714285746,1.2,2.77
790,9.69,1.21125,1.18,0.03781250000000001,0.94,1.53
791,6.799999999999999,0.8499999999999999,0.78,0.03959999999999999,0.68,1.27
792,1.93,0.24125,0.245,0.003498214285714286,0.17,0.32
793,6.04,0.755,0.765,0.011485714285714283,0.59,0.94
794,11.850000000000001,1.4812500000000002,1.525,0.0557267857142857,1.07,1.79
795,18.01,2.25125,2.1950000000000003,0.040726785714285674,2.02,2.54
796,20.4,2.55,2.8049999999999997,1.1546571428571428,0.46,3.65
797,14.030000000000001,1.7537500000000001,1.825,0.2035410714285714,0.87,2.31
799,29.259999999999998,3.6574999999999998,3.56,0.5208785714285712,2.81,4.64
800,14.610000000000001,1.8262500000000002,1.81,0.08822678571428569,1.4,2.4
801,21.93,2.74125,2.885,0.3775267857142857,1.65,3.5
802,17.6,2.2,2.17,0.019685714285714317,2.0,2.49
803,16.51,2.06375,2.0700000000000003,0.24822678571428575,1.42,3.0
804,31.349999999999998,3.9187499999999997,3.81,0.47775535714285705,2.72,4.85
805,25.790000000000003,3.2237500000000003,1.5150000000000001,7.966569642857142,1.29,8.59
806,9.88,1.235,1.19,0.19385714285714287,0.74,2.02
807,16.65,2.08125,2.0149999999999997,0.1084982142857143,1.65,2.66
808,25.279999999999994,3.1599999999999993,3.365,0.5698857142857146,1.92,4.13
809,17.34,2.1675,2.1799999999999997,0.08104999999999994,1.75,2.53
810,5.73,0.71625,0.72,0.01699821428571429,0.46,0.87
811,23.57,2.94625,2.855,0.31391250000000015,1.98,3.73
813,27.29,3.41125,3.6399999999999997,0.8542696428571431,2.1,4.48
819,12.280000000000001,1.5350000000000001,1.46,0.159,0.96,2.23
820,18.51,2.31375,2.285,0.1546553571428571,1.78,2.97
